"Worm Data","Position (um) of Centroid"
"Sequence","capture-0001.avi"

,,"Track"
"Frame","Time","1 x","1 y","2 x","2 y"
77277,2575.866666666667,,,1489.7786312371504,507.4971666287097
77278,2575.9,,,1490.4347677076107,506.9151243500239
77279,2575.9333333333334,,,1490.5790423366855,506.1452817771742
77280,2575.9666666666667,,,1490.7473486896088,506.09841172141364
77281,2576,,,1490.4351811327465,505.7225583901468
77282,2576.0333333333333,,,1490.0484769044156,505.97942710579855
77283,2576.0666666666666,,,1489.9473124299752,506.4440058181367
77284,2576.1,,,1489.9093851631153,506.7826703951598
77285,2576.133333333333,,,1489.1400652153275,507.6275633014038
77286,2576.1666666666665,,,1489.1170704623555,507.9410264421251
77287,2576.2,,,1487.836050600971,508.9182201262395
77288,2576.233333333333,,,1487.8284019093805,509.2274492856436
77289,2576.2666666666664,,,1487.227432358376,509.3178062149507
77290,2576.3,,,1487.2713324104216,509.6023855216811
